title,label,color,labeled_places_22_02_pid,labeled_places_22_02_place_id
Набережная лейтенанта Шмидта 27,39,#75d098,11969816,11969816
Крестовский остров Сибур арена,66,#1ae2d2,17061120,17061120
14-я линия,39,#75d098,6766346,6766346
Подворье Оптиной пустыни г.Санкт-Петербург,39,#75d098,11727082,11727082
BusinessLink Training,39,#75d098,10178920,10178920
"14 линия, 11/38",39,#75d098,10375168,10375168
Барракуда,39,#75d098,6815,6815
Родильный дом 1,39,#75d098,6024418,6024418
Морской корпус им. Петра Великого,22,#cd3cc8,13419033,13419033
"Usoff, ресторан",39,#75d098,12363922,12363922
Администрация Василеостровскрго района,39,#75d098,8876293,8876293
Экипаж,39,#75d098,3327,3327
СПбГИПСР,39,#75d098,6511111,6511111
Кальянная Wonderland,39,#75d098,13487855,13487855
"Saint Petersbourg,Russia",39,#75d098,18031173,18031173
Kwakinn,39,#75d098,10918,10918
"Большой ВО проспект, Санкт-Петербург",39,#75d098,14500898,14500898
В.О 10-я линия 10,39,#75d098,6464520,6464520
Российская Правовая академия,39,#75d098,7203072,7203072
Pizza Hut,39,#75d098,2973,2973
Sheikh Bar (Шейх Бар),39,#75d098,13829654,13829654
Санкт-Питербург. невский,33,#a4d41f,14576908,14576908
Abajour cafe,39,#75d098,1229469,1229469
Средний проспект ВО 36/40,39,#75d098,11697391,11697391
Dew Disco Bar,39,#75d098,4689760,4689760
токио city - средний пр. ВО,66,#1ae2d2,18004652,18004652
KFC,39,#75d098,5841,5841
Станция метро «Василеостровская» ?,33,#a4d41f,9068689,9068689
Дамаск,39,#75d098,8446469,8446469
Кальян вечеринка в Дамаске,39,#75d098,805208,805208
McDonald's,13,#62d099,5438745,5438745
Цирюльник,33,#a4d41f,16246012,16246012
Мы на Ваське ?,33,#a4d41f,10083036,10083036
Лидо де Венеция,33,#a4d41f,4155,4155
Средний проспект 25,39,#75d098,8496088,8496088
7 линия Храм Благовещения,39,#75d098,11542148,11542148
Храм Благовещения Присвятой Богородицы,33,#a4d41f,5392390,5392390
PUB Wild Duck,39,#75d098,7507591,7507591
Shannon pab,33,#a4d41f,9668,9668
Городская Наркологическая Больница,15,#8495eb,6624480,6624480
малый пр.11,33,#a4d41f,9608541,9608541
Нака чай и хомутов,33,#a4d41f,8538408,8538408
"Конгресс-холл ""Васильевский""",33,#a4d41f,9096546,9096546
МЕСТО ПОД СОЛНЦЕМ,39,#75d098,5433155,5433155
Макарова набережная,33,#a4d41f,11886373,11886373
Courtyard by Marriott,15,#8495eb,5907109,5907109
Набережная макарова 32,33,#a4d41f,7747177,7747177
Петровский парк ?,45,#fc8d62,9541785,9541785
"Петровский пр.,д . 14",45,#fc8d62,12218702,12218702
Стадион СКА,45,#fc8d62,6114912,6114912
Рулька ресторан,5,#e6c51f,13367701,13367701
Лазаревский мост,45,#fc8d62,6081960,6081960
GS Group,45,#fc8d62,4436538,4436538
Детский дом 23,45,#fc8d62,7619698,7619698
Тринити,45,#fc8d62,5814207,5814207
"ЖК ""Премьер Палас""",45,#fc8d62,12078968,12078968
"""Тринити Place""",45,#fc8d62,14432417,14432417
Академия Волейбола Платонова,45,#fc8d62,8262725,8262725
Олимпийская деревня,45,#fc8d62,5441084,5441084
Byron Club,45,#fc8d62,4266,4266
Большой Крестовский мост,45,#fc8d62,17712354,17712354
English Rowing Club,45,#fc8d62,7004257,7004257
Летняя площадка гребной клуб,45,#fc8d62,5791537,5791537
УПРАВЛЕНИЕ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ федеральное государственное бюджетное учреждение «Консультативно-диагностический ц?,45,#fc8d62,7163474,7163474
Krestovskiy ostrov,45,#fc8d62,13499773,13499773
Новая сцена БДТ им.Товстаногова,45,#fc8d62,7320098,7320098
К-5 правителственная резиденция,45,#fc8d62,16711026,16711026
Площадь старого театра,45,#fc8d62,12396645,12396645
Ресторан ZимаЛeto,45,#fc8d62,5502392,5502392
Rich`Art Club - Дибуновская 22,45,#fc8d62,4196094,4196094
Город Кингисепп,45,#fc8d62,15284046,15284046
TOP SERVICE,45,#fc8d62,4693136,4693136
ADMarket - АДМаркет производство рекламы,59,#3ace9a,4696483,4696483
Полевая сабировская 47 корпус 1,59,#3ace9a,11100250,11100250
"Байконурская улица, 7",27,#68d5d2,13748432,13748432
"Богатырский проспект, 15",27,#68d5d2,7634085,7634085
КАРО Фильм - Континент на Байконурской,59,#3ace9a,11301,11301
Боулинг AMF,27,#68d5d2,6712812,6712812
Бахрома сизова 9,27,#68d5d2,16610487,16610487
Лео,27,#68d5d2,6590,6590
Проспект Сизова 9,59,#3ace9a,16403199,16403199
"Россия, Санкт-Петербург,пр. Испытателей 24",59,#3ace9a,9208746,9208746
Испытателей 35,27,#68d5d2,11205148,11205148
Пр Испытателей 20,27,#68d5d2,11789640,11789640
Байконурская 19,27,#68d5d2,8578415,8578415
Королева 24,59,#3ace9a,7321169,7321169
Пулково-3,27,#68d5d2,5871847,5871847
Бассейн СДЮШОР,27,#68d5d2,176491,176491
Байконурская 24,27,#68d5d2,7140439,7140439
Velocita,27,#68d5d2,8607180,8607180
"Сизова 25, Дом!",27,#68d5d2,8701207,8701207
Sportissimo,59,#3ace9a,10540375,10540375
Эрмитаж арка генштаба,59,#3ace9a,16475513,16475513
БЦ Дирус Вуд,59,#3ace9a,15493231,15493231
"КСК Заповедный, Заповедная 49",40,#cb8e2b,14541955,14541955
Строительство Каркасные Дома из Бруса Газобетона,31,#2be462,4034598,4034598
"Санкт-Петербург, приозерское шоссе",31,#2be462,15538992,15538992
СДЮСШОР по лыжным гонкам,31,#2be462,10989556,10989556
стадион Шторм,22,#cd3cc8,13040504,13040504
Санкт- Питербург Ленинский проспект Народного ополчения 35,22,#cd3cc8,13325440,13325440
Ул.бульвар Новаторов д32 fitness house,22,#cd3cc8,7306928,7306928
"Народного ополчения, 10 а",22,#cd3cc8,6839892,6839892
ЖК СОВРЕМЕННИК,22,#cd3cc8,6813863,6813863
Народного ополчения проспект. 10,22,#cd3cc8,6810824,6810824
Народного Ополчения д.13,22,#cd3cc8,7722088,7722088
